Segment,Customers,Avg_Recency,Avg_Frequency,Avg_Monetary,Total_Revenue
Champions,1884,13.34660297239915,11.660297239915074,8450.696114649681,15921111.48
Potential Loyalists,889,15.88638920134983,1.7964004499437571,3878.486344206974,3447974.36
Others,3663,82.32623532623532,2.6006006006006004,732.3979363909364,2682773.641
Loyal Customers,1085,40.88294930875576,5.137327188940092,1931.1883889400922,2095339.402
At Risk,1022,152.01663405088064,3.204500978473581,1748.0899031311155,1786547.881
Hibernating,1957,216.54011241696475,1.0,189.23317322432294,370329.32
